EXAM_ID	BATCH	LEVEL
A2ML_221205_06_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_06_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_07_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_07_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_08_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_08_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_09_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_09_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_10_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_10_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_11_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_11_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_12_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_12_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_13_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_13_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_14_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_14_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_15_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_15_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_16_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_16_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_17_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_17_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_18_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_18_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_19_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_19_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_20_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_20_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_21_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_21_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_22_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_22_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_23_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_23_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_24_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_24_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_25_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_25_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_26_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_26_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_27_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_27_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_28_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_28_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_29_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_29_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_30_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230724_30_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_31_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_31_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_32_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_32_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_33_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_33_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_34_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_34_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_37_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_37_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_38_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_38_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_39_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_39_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_40_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_40_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_41_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_41_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_42_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_230911_42_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_231215_43_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_44_01_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_44_02_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_45_01_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_45_02_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_47_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_48_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_49_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_50_01_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_50_02_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_51_01_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_51_02_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_53_01_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_53_02_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_54_01_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_54_02_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_56_01_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_56_02_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_57_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_59_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_61_01_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_61_02_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_62_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_63_01_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_63_02_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_65_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_66_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_67_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_68_01_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_68_02_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_231215_69_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_240119_70_01_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_240119_70_02_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_240119_71_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_240124_72_01_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_240124_72_02_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_240221_73_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_240221_74_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_240221_77_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_240221_78_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_240221_79_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_240221_80_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_240221_81_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_240221_82_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_240221_83_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
A2ML_240221_84_anonym_audio	UJOP/CCE-A2_2024_04_24	A2
PHA20241109001_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109002_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109003_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109004_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109005_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109006_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109007_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109008_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109009_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109010_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109012_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109013_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109014_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109015_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109016_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109017_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109018_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109019_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109021_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109022_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109023_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109024_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109025_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109026_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109029_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109030_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109031_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109032_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109033_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109034_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109035_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109036_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109037_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109038_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109039_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109040_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109041_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109042_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109043_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109044_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109045_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109046_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109047_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109048_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109050_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109051_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109052_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109053_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109054_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109055_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109056_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109057_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109058_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109059_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109060_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109061_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109062_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109063_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109064_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109065_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109066_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109067_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109068_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109070_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109072_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109073_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109074_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109075_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109076_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109077_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109078_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109079_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109080_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109081_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109082_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109083_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109084_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109086_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109087_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
PHA20241109088_anonym_audio	UJOP/CCE-A2_older_2025_02_17	A2_older
B1ML_230221_01_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230221_02_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230221_03_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230221_04_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230221_05_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230221_06_anonym_video	UJOP/CCE-B1_2024_05_21	B1
B1ML_230221_07_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230221_08_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230221_09_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230221_10_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230221_11_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230221_12_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230221_13_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230310_01_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230310_02_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230310_03_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230310_04_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230310_05_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230310_06_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_01_01_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_01_02_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_02_anonym_audio_video	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_03_anonym_audio_video	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_04_anonym_audio_video	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_05_01_anonym_audio_video	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_05_02_anonym_audio_video	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_07_01_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_07_02_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_08_anonym_audio_video	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_09_01_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_09_02_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_10_01_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_10_02_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_11_01_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_11_02_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_12_01_anonym_audio_video	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_12_02_anonym_audio_video	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_13_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_14_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_15_01_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_15_02_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_17_01_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_230424_17_02_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_01_anonym_audio_video	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_04_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_07_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_08_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_09_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_10_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_11_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_12_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_13_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_14_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_15_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_16_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_17_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_18_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_19_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_20_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_21_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_22_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_23_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_24_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_25_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_26_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_27_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_28_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_29_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_30_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_31_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_32_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240109_33_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_01_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_02_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_03_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_04_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_06_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_07_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_08_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_10_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_11_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_12_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_13_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_14_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_15_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_16_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_17_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_19_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_21_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_22_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_23_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_26_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
B1ML_240115_27_anonym_audio	UJOP/CCE-B1_2024_05_21	B1
